"name","sourceUrl","sourceTitle","query"
"Manuel Neuer","https://www.gettyimages.com/detail/news-photo/manuel-neuer-of-germany-poses-for-a-portrait-during-the-news-photo/2280940798","Manuel Neuer of Germany poses for a portrait during the official FIFA ...","https://duckduckgo.com/html/?q=Manuel%20Neuer%20official%20photo%20FIFA%20World%20Cup"
"Virgil van Dijk","https://www.gettyimages.com/detail/news-photo/virgil-van-dijk-of-netherlands-poses-for-a-portrait-during-news-photo/2280381531?adppopup=true","Virgil van Dijk of Netherlands poses for a portrait during the...","https://duckduckgo.com/html/?q=Virgil%20van%20Dijk%20official%20photo%20FIFA%20World%20Cup"
"Jude Bellingham","https://www.gettyimages.com/detail/news-photo/jude-bellingham-of-england-poses-for-a-portrait-during-the-news-photo/2280722725","Jude Bellingham of England poses for a portrait during the official ...","https://duckduckgo.com/html/?q=Jude%20Bellingham%20official%20photo%20FIFA%20World%20Cup"
"Rodri","https://www.gettyimages.com/detail/news-photo/rodri-of-spain-poses-for-a-portrait-during-the-official-news-photo/2281070339?adppopup=true","Rodri of Spain poses for a portrait during the official FIFA World ...","https://duckduckgo.com/html/?q=Rodri%20official%20photo%20FIFA%20World%20Cup"
"Federico Valverde","https://www.gettyimages.com/detail/news-photo/federico-valverde-of-uruguay-poses-for-a-portrait-during-news-photo/2281285112?adppopup=true","Federico Valverde of Uruguay poses for a portrait during the official ...","https://duckduckgo.com/html/?q=Federico%20Valverde%20official%20photo%20FIFA%20World%20Cup"
"Julian Alvarez","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/julian-alvarez-stats-quotes-records","Julian Alvarez: Stats, quotes, highlights, trivia and quiz - FIFA","https://duckduckgo.com/html/?q=Julian%20Alvarez%20official%20photo%20FIFA%20World%20Cup"
"Lautaro Martinez","https://www.gettyimages.com/detail/news-photo/lautaro-martinez-of-argentina-poses-during-the-official-news-photo/1442742404","Lautaro Martinez of Argentina poses during the official FIFA World ...","https://duckduckgo.com/html/?q=Lautaro%20Martinez%20official%20photo%20FIFA%20World%20Cup"
"Emiliano Martinez","https://www.gettyimages.com/detail/news-photo/emiliano-martinez-of-argentina-poses-for-a-portrait-during-news-photo/2281294539?adppopup=true","Emiliano Martinez of Argentina poses for a portrait during the...","https://duckduckgo.com/html/?q=Emiliano%20Martinez%20official%20photo%20FIFA%20World%20Cup"
"Enzo Fernandez","https://www.gettyimages.com/detail/news-photo/enzo-fernandez-of-argentina-poses-for-a-portrait-during-the-news-photo/2281294524?adppopup=true","Enzo Fernandez of Argentina poses for a portrait during the official ...","https://duckduckgo.com/html/?q=Enzo%20Fernandez%20official%20photo%20FIFA%20World%20Cup"
"Alexis Mac Allister","https://www.gettyimages.com/detail/news-photo/alexis-mac-allister-of-argentina-poses-for-a-portrait-news-photo/2281294383?adppopup=true","Alexis Mac Allister of Argentina poses for a portrait during the...","https://duckduckgo.com/html/?q=Alexis%20Mac%20Allister%20official%20photo%20FIFA%20World%20Cup"
"Martin Odegaard","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/norway-squad-announcement-stale-solbakken","Norway squad announcement | FIFA World Cup 2026","https://duckduckgo.com/html/?q=Martin%20Odegaard%20official%20photo%20FIFA%20World%20Cup"
"Bukayo Saka","https://www.gettyimages.com/detail/news-photo/bukayo-saka-of-england-poses-for-a-portrait-during-the-news-photo/2280722741?adppopup=true","Bukayo Saka of England poses for a portrait during the official FIFA ...","https://duckduckgo.com/html/?q=Bukayo%20Saka%20official%20photo%20FIFA%20World%20Cup"
"Phil Foden","https://www.gettyimages.com/detail/news-photo/phil-foden-of-england-is-seen-during-the-fifa-world-cup-news-photo/1448302055","Phil Foden of England is seen during the FIFA World Cup Qatar 2022...","https://duckduckgo.com/html/?q=Phil%20Foden%20official%20photo%20FIFA%20World%20Cup"
"Cole Palmer","https://www.gettyimages.com/detail/news-photo/cole-palmer-of-chelsea-poses-for-a-portrait-during-the-news-photo/2220244324","Cole Palmer of Chelsea poses for a portrait during the official FIFA ...","https://duckduckgo.com/html/?q=Cole%20Palmer%20official%20photo%20FIFA%20World%20Cup"
"Declan Rice","https://www.gettyimages.com/detail/news-photo/declan-rice-of-england-during-the-official-fifa-world-cup-news-photo/2280771086","Declan Rice of England during the official FIFA World Cup 2026...","https://duckduckgo.com/html/?q=Declan%20Rice%20official%20photo%20FIFA%20World%20Cup"
"Trent Alexander-Arnold","https://www.gettyimages.com/detail/news-photo/trent-alexander-arnold-of-england-poses-during-the-official-news-photo/1442013344","Trent Alexander-Arnold of England poses during the official FIFA ...","https://duckduckgo.com/html/?q=Trent%20Alexander-Arnold%20official%20photo%20FIFA%20World%20Cup"
